Species,Gregariousness,Water.Column,Activity,Diet,Habitat,TrophicLevel,BodySize
Centropyge fisheri,1,2,Day,Grazer,coral,2,1
Centropyge flavissima,1,2,Day,Grazer,coral,2,2
Centropyge heraldi,1,2,Day,Grazer,coral,2,2
Centropyge hotumatua,1,2,Day,Grazer,coral,2,2
Centropyge joculator,1,2,Day,Grazer,coral,2,2
Centropyge loriculus,1,2,Day,Grazer,coral,2,2
Centropyge multispinis,1,2,Day,Omnivore,coral,2,2
Centropyge nox,1,2,Day,Grazer,coral,2,2
Centropyge tibicen,1,2,Day,Grazer,coral,2,3
Centropyge vrolikii,1,2,Day,Grazer,coral,2,2
Cephalopholis argus,1,2,Day,Piscivore,coral,5,5
Cephalopholis boenak,1,2,Day,Piscivore,coral,5,3
Cephalopholis cruentata,1,2,Day,Piscivore,coral,5,4
Cephalopholis cyanostigma,1,2,Day,Piscivore,coral,5,4
Cephalopholis formosa,1,2,Day,Piscivore,coral,5,4
Cephalopholis fulva,1,2,Day,Piscivore,coral,5,4
Cephalopholis hemistiktos,1,2,Day,Piscivore,coral,5,4
Cephalopholis leopardus,1,2,Day,Piscivore,coral,4,3
Cephalopholis microprion,1,2,Day,Piscivore,coral,4,3
Cephalopholis miniata,1,2,Day,Piscivore,coral,5,4
Cephalopholis panamensis,1,2,Day,Piscivore,rock,5,4
Cephalopholis sexmaculata,1,2,Day,Piscivore,coral,5,4
Cephalopholis sonnerati,1,2,Day,Piscivore,coral,4,5
Cephalopholis spiloparaea,1,2,Day,Piscivore,coral,5,3
Cephalopholis urodeta,1,2,Day,Piscivore,coral,4,3
Cetoscarus bicolor,1,2,Day,Microphage,coral,1,6
Cetoscarus ocellatus,2,2,Day,Microphage,coral,1,6
Chaetodermis penicilligerus,1,2,Day,Omnivore,rock,2,4
Chaetodipterus faber,2,2,Day,Piscivore,coral,5,6
Chaetodipterus zonatus,2,2,Day,Omnivore,coral,3,5
Chaetodon adiergastos,2,2,Day,Corallivore,coral,3,3
Chaetodon andamanensis,2,2,Day,Corallivore,coral,3,2
Chaetodon argentatus,1,2,Day,Invertivore,coral,2,3
Chaetodon assarius,2,2,Day,Invertivore,coral,2,2
Chaetodon aureofasciatus,2,2,Day,Corallivore,coral,3,2
Chaetodon auriga,2,2,Day,Corallivore,coral,3,3
Chaetodon auripes,2,2,Day,Invertivore,rock,3,3
Chaetodon austriacus,2,2,Day,Corallivore,coral,3,2
Chaetodon baronessa,2,2,Day,Corallivore,coral,3,3
Chaetodon bennetti,2,2,Day,Corallivore,coral,3,3
Chaetodon capistratus,2,2,Day,Invertivore,coral,2,2
Chaetodon citrinellus,2,2,Day,Corallivore,coral,3,2
Chaetodon collare,2,2,Day,Corallivore,coral,3,3
Chaetodon decussatus,2,2,Day,Corallivore,coral,2,3
Chaetodon dolosus,2,2,Day,Invertivore,coral,2,2
Chaetodon ephippium,2,2,Day,Corallivore,coral,3,3
Chaetodon falcula,2,2,Day,Invertivore,coral,3,3
