sp_name;aesthe_score
Caracanthus_maculatus;1366.1086
Caracanthus_typicus;1499.7288
Caracanthus_unipinna;1313.8518
Carangoides_bajad;1453.0686
Carangoides_bartholomaei;1240.7395
Carangoides_chrysophrys;1302.7224
Carangoides_ferdau;1289.818
Carangoides_fulvoguttatus;1295.729
Carangoides_gymnostethus;1311.8042
Carangoides_orthogrammus;1294.9186
Carangoides_plagiotaenia;1205.95
Caranx_caballus;1207.7012
Caranx_caninus;1233.0328
Caranx_crysos;1228.4581
Caranx_ignobilis;1305.3799
Caranx_lugubris;1249.522
Caranx_melampygus;1346.31708758395
Caranx_papuensis;1257.782
Caranx_sexfasciatus;1302.3861
Caulolatilus_princeps;1228.7382
Centroberyx_affinis;1381.155
Centroberyx_gerrardi;1434.2139
Centroberyx_lineatus;1437.936
Centrogenys_vaigiensis;1466.3468
Centrolabrus_exoletus;1387.2201
Centrolabrus_melanocercus;1386.8005
Centropogon_australis;1351.742
Centropyge_acanthops;1668.4576
Centropyge_argi;1393.9385
Centropyge_bicolor;1682.5969
Centropyge_bispinosa;1649.5667
Centropyge_eibli;1623.2002
Centropyge_ferrugata;1469.3885
Centropyge_fisheri;1750.2827
Centropyge_flavissima;1685.0493
Centropyge_heraldi;1557.8912
Centropyge_hotumatua;1894.3323
Centropyge_joculator;1605.2968
Centropyge_loriculus;1705.7456
Centropyge_multispinis;1600.8665
Centropyge_nox;1357.7028
Centropyge_tibicen;1505.5193
Cephalopholis_argus;1585.6118
Cephalopholis_boenak;1426.2004
Cephalopholis_cruentata;1507.492
Cephalopholis_cyanostigma;1502.8835
Cephalopholis_formosa;1804.7888
Cephalopholis_fulva;1559.3336
Cephalopholis_hemistiktos;1457.1343
Cephalopholis_leopardus;1510.7789
Cephalopholis_microprion;1435.0377
Cephalopholis_miniata;1763.9487
Cephalopholis_panamensis;1498.4985
Cephalopholis_sexmaculata;1602.4653
Cephalopholis_sonnerati;1697.117
Cephalopholis_spiloparaea;1336.764
Cephalopholis_urodeta;1520.3953
Cetoscarus_bicolor;1648.8759
Chaenopsis_schmitti;1441.5002
Chaetodermis_penicilligerus;1700.9678
Chaetodipterus_faber;1598.939
Chaetodipterus_zonatus;1521.731
Chaetodon_adiergastos;1681.138
Chaetodon_andamanensis;1642.4497
Chaetodon_argentatus;1619.489
Chaetodon_assarius;1627.5544
Chaetodon_aureofasciatus;1679.3416
Chaetodon_auriga;1711.7655
Chaetodon_auripes;1647.5831
Chaetodon_austriacus;1737.543
Chaetodon_baronessa;1779.6548
Chaetodon_bennetti;1720.8644
Chaetodon_capistratus;1690.0546
Chaetodon_citrinellus;1627.4077
Chaetodon_collare;1738.16
Chaetodon_decussatus;1641.9388
Chaetodon_dolosus;1634.1589
Chaetodon_ephippium;1703.0808
Chaetodon_falcula;1650.4031
Chaetodon_fasciatus;1810.9768
Chaetodon_flavirostris;1736.369
Chaetodon_guentheri;1651.9893
Chaetodon_guttatissimus;1684.1946
Chaetodon_humeralis;1587.5786
Chaetodon_interruptus;1686.6018
Chaetodon_kleinii;1681.1626
Chaetodon_lineolatus;1683.7186
Chaetodon_litus;1556.1324
Chaetodon_lunula;1800.5476
Chaetodon_lunulatus;1818.1865
Chaetodon_madagaskariensis;1637.138
Chaetodon_marleyi;1700.0883
Chaetodon_melannotus;1732.3499
Chaetodon_mertensii;1603.5881
Chaetodon_meyeri;1759.5187
Chaetodon_miliaris;1661.714
Chaetodon_multicinctus;1618.663
Chaetodon_ocellatus;1635.2855
Chaetodon_ocellicaudus;1809.8689
Chaetodon_octofasciatus;1645.439
Chaetodon_ornatissimus;1779.7948
Chaetodon_oxycephalus;1583.5464
Chaetodon_paucifasciatus;1757.797
Chaetodon_pelewensis;1817.3182
Chaetodon_plebeius;1733.4773
Chaetodon_punctatofasciatus;1728.087
Chaetodon_quadrimaculatus;1655.2732
Chaetodon_rafflesii;1768.842
Chaetodon_rainfordi;1732.2506
Chaetodon_reticulatus;1768.6693
Chaetodon_sedentarius;1547.3792
Chaetodon_semeion;1673.2784
Chaetodon_semilarvatus;1770.8802
Chaetodon_speculum;1673.2849
Chaetodon_striatus;1686.8851
Chaetodon_triangulum;1718.9442
Chaetodon_trichrous;1550.2726
Chaetodon_tricinctus;1768.6609
Chaetodon_trifascialis;1732.3347
Chaetodon_trifasciatus;1787.5977
Chaetodon_ulietensis;1637.1733
Chaetodon_unimaculatus;1626.818
Chaetodon_vagabundus;1665.6663
Chaetodon_xanthocephalus;1701.9031
Chaetodon_xanthurus;1734.3584
Chaetodon_zanzibarensis;1685.2375
Chaetodontoplus_conspicillatus;1714.4263
Chaetodontoplus_duboulayi;1702.0342
Chaetodontoplus_meredithi;1661.3727
Chaetodontoplus_mesoleucus;1527.2556
Chaetodontoplus_personifer;1644.3337
Chaetodontoplus_septentrionalis;2045.2472
Chaetodontoplus_vanderloosi;1520.1295
Champsocephalus_esox;1287.6597
Chanos_chanos;1280.308
Cheilinus_abudjubbe;1580.4581
Cheilinus_chlorourus;1444.7927
Cheilinus_fasciatus;1556.1812
Cheilinus_lunulatus;1427.1069
Cheilinus_oxycephalus;1529.6621
Cheilinus_trilobatus;1526.0945
Cheilinus_undulatus;1559.1982
Cheilio_inermis;1391.8492
Cheilodactylus_ephippium;1460.1366
Cheilodactylus_fasciatus;1361.9814
Cheilodactylus_francisi;1444.124
Cheilodactylus_fuscus;1451.7168
Cheilodactylus_gibbosus;1584.718
Cheilodactylus_nigripes;1470.3142
Cheilodactylus_pixi;1345.314
Cheilodactylus_plessisi;1418.1904
Cheilodactylus_rubrolabiatus;1542.3389
Cheilodactylus_spectabilis;1461.3306
Cheilodactylus_vestitus;1541.9324
Cheilodactylus_zebra;1497.7148
Cheilodactylus_zonatus;1507.2307
Cheilodipterus_arabicus;1340.1165
Cheilodipterus_artus;1301.8433
Cheilodipterus_intermedius;1296.5647
Cheilodipterus_isostigmus;1345.9993
Cheilodipterus_lachneri;1355.42
Cheilodipterus_macrodon;1451.4722
Cheilodipterus_nigrotaeniatus;1394.1162
Cheilodipterus_parazonatus;1309.968
Cheilodipterus_quinquelineatus;1413.962
Cheiloprion_labiatus;1677.394
Chelidonichthys_capensis;1347.2104
Chelmon_marginalis;1795.8562
Chelmon_rostratus;1764.8833
Chelmonops_curiosus;1759.8583
Chelmonops_truncatus;1717.2185
Chelon_auratus;1232.0342
Chelon_labrosus;1219.3625
Chelon_ramada;1128.7653
Chelon_richardsonii;1197.0253
Chelonodon_pleurospilus;1420.9857
Chilomycterus_antennatus;1513.525
Chilomycterus_reticulatus;1418.585
