"sp_name","esthe_score","file_name","copyright"
"Anampses_twistii","1602.05","Anampses_twistii_A_1","NO"
"Anarrhichthys_ocellatus","1486.7755","Anarrhichthys_ocellatus_A_1","YES"
"Anisotremus_caesius","1278.0325","Anisotremus_caesius_A_1","YES"
"Anisotremus_davidsonii","1181.9349","Anisotremus_davidsonii_A_1","YES"
"Anisotremus_interruptus","1287.9479","Anisotremus_interruptus_A_1","NO"
"Anisotremus_scapularis","1330.359","Anisotremus_scapularis_A_1","YES"
"Anisotremus_surinamensis","1311.5085","Anisotremus_surinamensis_J_1","YES"
"Anisotremus_taeniatus","1530.6821","Anisotremus_taeniatus_A_1","YES"
"Anisotremus_virginicus","1660.9802","Anisotremus_virginicus_A_1","YES"
"Anoplocapros_amygdaloides","1654.1633","Anoplocapros_amygdaloides_F_1","YES"
"Anoplocapros_inermis","1810.0027","Anoplocapros_inermis_J_2","YES"
"Anoplocapros_lenticularis","1706.7864","Anoplocapros_lenticularis_F_1","YES"
"Anyperodon_leucogrammicus","1682.9514","Anyperodon_leucogrammicus_J_1","YES"
"Aphareus_furca","1235.55","Aphareus_furca_A_2","NO"
"Aphareus_rutilans","1323.7504","Aphareus_rutilans_A_3","YES"
"Aploactisoma_milesii","1316.3699","Aploactisoma_milesii_A_3","YES"
"Aplodactylus_arctidens","1283.1444","Aplodactylus_arctidens_A_2","YES"
"Aplodactylus_etheridgii","1581.3145","Aplodactylus_etheridgii_A_2","YES"
"Aplodactylus_lophodon","1321.6139","Aplodactylus_lophodon_J_1","YES"
"Aplodactylus_westralis","1318.6613","Aplodactylus_westralis_A_1","YES"
"Apogon_atradorsatus","1289.0033","Apogon_atradorsatus_A_1","NO"
"Apogon_atricaudus","1381.7433","Apogon_atricaudus_A_1","NO"
"Apogon_binotatus","1338.3337","Apogon_binotatus_A_2","YES"
"Apogon_dovii","1332.575","Apogon_dovii_A_1","YES"
"Apogon_imberbis","1402.5764","Apogon_imberbis_A_1","YES"
"Apogon_lachneri","1403.3408","Apogon_lachneri_A_2","NO"
"Apogon_maculatus","1471.7048","Apogon_maculatus_A_1","YES"
"Apogon_pacificus","1433.2057","Apogon_pacificus_A_1","YES"
"Apogon_retrosella","1254.2197","Apogon_retrosella_A_1","NO"
"Apogon_townsendi","1412.863","Apogon_townsendi_A_2","NO"
"Apogonichthyoides_timorensis","1356.2324","Apogonichthyoides_timorensis_A_1","YES"
"Apolemichthys_trimaculatus","1721.1812","Apolemichthys_trimaculatus_A_1","NO"
"Aprion_virescens","1192.8422","Aprion_virescens_A_1",NA
"Aracana_aurita","1985.3121","Aracana_aurita_M_2","YES"
"Aracana_ornata","1912.028","Aracana_ornata_M_1","YES"
"Archamia_bleekeri","1267.3857","Archamia_bleekeri_A_1","YES"
"Arcos_poecilophthalmos","1404.7362","Arcos_poecilophthalmos_A_1","NO"
"Arenigobius_frenatus","1259.5559","Arenigobius_frenatus_A_2","YES"
"Argyrosomus_hololepidotus","1193.0015","Argyrosomus_hololepidotus_A_2","NO"
"Argyrosomus_japonicus","1282.3218","Argyrosomus_japonicus_A_1","YES"
"Arothron_caeruleopunctatus","1481.0411","Arothron_caeruleopunctatus_A_1","NO"
"Arothron_diadematus","1448.42","Arothron_diadematus_A_1","YES"
"Arothron_hispidus","1590.9263","Arothron_hispidus_A_2","YES"
"Arothron_inconditus","1508.8948","Arothron_inconditus_A_3","NO"
"Arothron_manilensis","1421.7654","Arothron_manilensis_A_2","NO"
"Arothron_mappa","1626.3552","Arothron_mappa_A_2","NO"
"Arothron_meleagris","1483.233","Arothron_meleagris_A_2","YES"
"Arothron_nigropunctatus","1548.8842","Arothron_nigropunctatus_A_7","YES"
"Arothron_stellatus","1627.2023","Arothron_stellatus_J_2","NO"
"Arripis_georgianus","1172.4537","Arripis_georgianus_A_1","YES"
"Arripis_trutta","1209.6833","Arripis_trutta_A_2","YES"
"Arripis_truttacea","1193.5466","Arripis_truttacea_A_1","YES"
"Arripis_xylabion","1323.1104","Arripis_xylabion_A_1","YES"
"Artedius_harringtoni","1519.0605","Artedius_harringtoni_A_1","YES"
"Aspasmogaster_tasmaniensis","1287.8165","Aspasmogaster_tasmaniensis_A_1","YES"
"Aspidontus_dussumieri","1356.3611","Aspidontus_dussumieri_A_1","YES"
"Aspidontus_taeniatus","1523.808","Aspidontus_taeniatus_A_1","YES"
"Assessor_flavissimus","1551.2413","Assessor_flavissimus_A_1","YES"
"Assessor_macneilli","1625.3274","Assessor_macneilli_A_1","YES"
"Assessor_randalli","1622.0111","Assessor_randalli_A_1","NO"
"Assiculus_punctatus","1581.9586","Assiculus_punctatus_F_1","YES"
"Asterropteryx_striata","1246.0698","Asterropteryx_striata_A_1","YES"
"Atherina_hepsetus","1307.5529","Atherina_hepsetus_A_1","YES"
"Atherina_presbyter","1151.1667","Atherina_presbyter_A_1","NO"
"Atherinomorus_vaigiensis","1158.4246","Atherinomorus_vaigiensis_A_2","YES"
"Atractoscion_aequidens","1199.2463","Atractoscion_aequidens_A_2","NO"
"Atrosalarias_holomelas","1284.4121","Atrosalarias_holomelas_A_4","NO"
"Atule_mate","1226.9922","Atule_mate_A_1","YES"
"Atypichthys_latus","1567.704","Atypichthys_latus_A_1","YES"
"Atypichthys_strigatus","1565.426","Atypichthys_strigatus_A_1","YES"
"Aulacocephalus_temminckii","1642.093","Aulacocephalus_temminckii_A_1","YES"
"Aulorhynchus_flavidus","1355.2527","Aulorhynchus_flavidus_A_2","YES"
"Austrolabrus_maculatus","1408.3899","Austrolabrus_maculatus_A_2","YES"
"Axoclinus_cocoensis","1331.5393","Axoclinus_cocoensis_M_1","YES"
"Axoclinus_lucillae","1466.4539","Axoclinus_lucillae_F_2","YES"
"Axoclinus_multicinctus","1400.9381","Axoclinus_multicinctus_A_1","YES"
"Axoclinus_rubinoffi","1477.7041","Axoclinus_rubinoffi_A_1","YES"
"Azurina_eupalama","1339.9508","Azurina_eupalama_A_1","NO"
"Balistapus_undulatus","2007.7928","Balistapus_undulatus_A_2","NO"
"Balistes_capriscus","1709.5105","Balistes_capriscus_A_3","NO"
"Balistes_polylepis","1553.6353","Balistes_polylepis_A_4","NO"
"Balistes_punctatus","1738.427","Balistes_punctatus_A_2","NO"
"Balistes_vetula","1785.4336","Balistes_vetula_A_2","NO"
"Balistoides_conspicillum","1706.7241","Balistoides_conspicillum_A_1","YES"
"Balistoides_viridescens","1607.5735","Balistoides_viridescens_A_3","NO"
"Bathygobius_krefftii","1359.6163","Bathygobius_krefftii_A_2","YES"
"Bathygobius_lineatus","1372.9199","Bathygobius_lineatus_A_1","NO"
"Bathystethus_cultratus","1183.7335","Bathystethus_cultratus_A_1","YES"
"Batrachoides_boulengeri","1271.5853","Batrachoides_boulengeri_A_1","NO"
"Belone_belone","1122.0869","Belone_belone_A_1","YES"
"Belonoperca_chabanaudi","1562.605","Belonoperca_chabanaudi_A_2","NO"
"Blenniella_chrysospilos","1324.5312","Blenniella_chrysospilos_A_2","YES"
"Bodianus_albotaeniatus","1615.5721","Bodianus_albotaeniatus_F_1","YES"
"Bodianus_anthioides","1610.002","Bodianus_anthioides_A_2","YES"
"Bodianus_axillaris","1578.839","Bodianus_axillaris_J_1","YES"
"Bodianus_bilunulatus","1550.6284","Bodianus_bilunulatus_A_1","YES"
"Bodianus_diana","1474.7756","Bodianus_diana_J_1","YES"
"Bodianus_dictynna","1529.6726","Bodianus_dictynna_J_1","YES"
"Bodianus_diplotaenia","1560.547","Bodianus_diplotaenia_F_1","NO"
"Bodianus_eclancheri","1625.4331","Bodianus_eclancheri_A_2","NO"
"Bodianus_frenchii","1482.0952","Bodianus_frenchii_A_1","YES"
"Bodianus_loxozonus","1675.0034","Bodianus_loxozonus_A_2","YES"
"Bodianus_mesothorax","1547.391","Bodianus_mesothorax_A_1","YES"
"Bodianus_perditio","1485.3657","Bodianus_perditio_A_1","YES"
"Bodianus_rufus","1562.0542","Bodianus_rufus_A_1","YES"
"Bodianus_scrofa","1580.8108","Bodianus_scrofa_A_1","YES"
"Bodianus_unimaculatus","1484.382","Bodianus_unimaculatus_F_1","YES"
"Bolbometopon_muricatum","1415.751","Bolbometopon_muricatum_A_1","NO"
"Boops_boops","1152.6465","Boops_boops_A_2","YES"
"Boopsoidea_inornata","1278.2781","Boopsoidea_inornata_A_1","YES"
"Boreogadus_saida","1260.3853","Boreogadus_saida_J_1","YES"
"Bothragonus_occidentalis","1277.2062","Bothragonus_occidentalis_A_1","YES"
"Bovichtus_angustifrons","1311.2366","Bovichtus_angustifrons_A_1","YES"
"Bovichtus_argentinus","1345.0474","Bovichtus_argentinus_A_2","YES"
"Brachaluteres_jacksonianus","1705.931","Brachaluteres_jacksonianus_A_3","YES"
"Brachionichthys_hirsutus","1653.0039","Brachionichthys_hirsutus_A_1","YES"
"Brachyistius_frenatus","1290.1072","Brachyistius_frenatus_A_1","NO"
"Bryaninops_amplus","1353.7577","Bryaninops_amplus_A_1","YES"
"Bryaninops_erythrops","1362.8364","Bryaninops_erythrops_A_1","YES"
"Bryaninops_natans","1275.6104","Bryaninops_natans_A_2","YES"
"Bryaninops_nexus","1317.0835","Bryaninops_nexus_A_2","YES"
"Bryaninops_yongei","1384.7817","Bryaninops_yongei_A_5","YES"
"Caesio_caerulaurea","1396.6771","Caesio_caerulaurea_A_1","NO"
"Caesio_cuning","1441.3821","Caesio_cuning_A_2","NO"
"Caesio_lunaris","1531.5767","Caesio_lunaris_A_3","NO"
"Caesio_striata","1353.7898","Caesio_striata_A_1","YES"
"Caesio_suevica","1410.7595335467","Caesio_suevica_160","YES"
"Caesio_teres","1479.8058","Caesio_teres_A_2","NO"
"Caesio_varilineata","1428.0172","Caesio_varilineata_A_1","YES"
"Caesio_xanthonota","1430.9062","Caesio_xanthonota_A_1","NO"
"Caesioperca_lepidoptera","1345.7125","Caesioperca_lepidoptera_A_3","YES"
"Caesioperca_rasor","1411.468","Caesioperca_rasor_J_1","YES"
"Caesioscorpis_theagenes","1183.2573","Caesioscorpis_theagenes_A_1","YES"
"Caffrogobius_nudiceps","1419.6334","Caffrogobius_nudiceps_A_1","YES"
