"sp_name","esthe_score","file_name","copyright","kingdom","phylum","class","order","family","genus"
"Anguilla anguilla",1290.9585,"Anguilla_anguilla_A_2","NO","Animalia","Chordata","Actinopteri","Anguilliformes","Anguillidae","Anguilla"
"Anisotremus caesius",1278.0325,"Anisotremus_caesius_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Haemulidae","Anisotremus"
"Anisotremus davidsonii",1181.9349,"Anisotremus_davidsonii_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Haemulidae","Anisotremus"
"Anisotremus interruptus",1287.9479,"Anisotremus_interruptus_A_1","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Haemulidae","Anisotremus"
"Anisotremus scapularis",1330.359,"Anisotremus_scapularis_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Haemulidae","Anisotremus"
"Anisotremus surinamensis",1311.5085,"Anisotremus_surinamensis_J_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Haemulidae","Anisotremus"
"Anisotremus taeniatus",1530.6821,"Anisotremus_taeniatus_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Haemulidae","Anisotremus"
"Anisotremus virginicus",1660.9802,"Anisotremus_virginicus_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Haemulidae","Anisotremus"
"Anoplocapros amygdaloides",1654.1633,"Anoplocapros_amygdaloides_F_1","YES","Animalia","Chordata","Actinopteri","Tetraodontiformes","Aracanidae","Anoplocapros"
"Anoplocapros inermis",1810.0027,"Anoplocapros_inermis_J_2","YES","Animalia","Chordata","Actinopteri","Tetraodontiformes","Aracanidae","Anoplocapros"
"Anoplocapros lenticularis",1706.7864,"Anoplocapros_lenticularis_F_1","YES","Animalia","Chordata","Actinopteri","Tetraodontiformes","Aracanidae","Anoplocapros"
"Anyperodon leucogrammicus",1682.9514,"Anyperodon_leucogrammicus_J_1","YES","Animalia","Chordata","Actinopteri","Perciformes","Serranidae","Anyperodon"
"Aphareus furca",1235.55,"Aphareus_furca_A_2","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Lutjanidae","Aphareus"
"Aphareus rutilans",1323.7504,"Aphareus_rutilans_A_3","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Lutjanidae","Aphareus"
"Aploactisoma milesii",1316.3699,"Aploactisoma_milesii_A_3","YES","Animalia","Chordata","Actinopteri","Perciformes","Aploactinidae","Aploactisoma"
"Aplodactylus arctidens",1283.1444,"Aplodactylus_arctidens_A_2","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Aplodactylidae","Aplodactylus"
"Aplodactylus etheridgii",1581.3145,"Aplodactylus_etheridgii_A_2","YES","Animalia","Chordata","Actinopteri","Centrarchiformes","Aplodactylidae","Aplodactylus"
