"max_length","trophic_level","thermal_mp_5min_95max","thermal_95thmax","trophic_group","water_column","diel_activity","habitat","sp_name"
75,3.3,27.02615,31.6882,"benthic invertivore","demersal","day","coral","Balistoides viridescens"
12,2.8,19.892,24.56,"benthic invertivore","benthic","day","sand","Bathygobius krefftii"
8,3.4,23.835,26.272,"benthic invertivore","benthic","day","sand","Bathygobius lineatus"
30,3.2,21.459125,24.92,"benthic invertivore","pelagic site attached","day","coral","Bathystethus cultratus"
93,4.2,12.62785,24.0717,"higher carnivore","pelagic non-site attached","day","water column","Belone belone"
15,4,27.4011,30.5702,"benthic invertivore","pelagic site attached","night","coral","Belonoperca chabanaudi"
13,2.5,26.4235,30.25415,"browsing herbivore","benthic","day","coral","Blenniella chrysospilos"
52,3.130447761,25.438,26.849,"benthic invertivore","demersal","day","coral","Bodianus albotaeniatus"
24,3.4,25.9125,30.78,"benthic invertivore","demersal","day","coral","Bodianus anthioides"
20,3.4,25.6195,31.224,"benthic invertivore","demersal","day","coral","Bodianus axillaris"
55,3.4,25.372225,29.31945,"benthic invertivore","demersal","day","coral","Bodianus bilunulatus"
20,3.5,27.242,31.328,"benthic invertivore","demersal","day","coral","Bodianus diana"
25,3.5,29.5915,30.437,"benthic invertivore","demersal","day","coral","Bodianus dictynna"
76,3.4,25.487,30.21,"benthic invertivore","demersal","day","coral","Bodianus diplotaenia"
61,2.7,23.1575,26.17,"benthic invertivore","demersal","day","coral","Bodianus eclancheri"
49,3.5,19.8269,23.178,"benthic invertivore","demersal","day","rock","Bodianus frenchii"
47,3.6,26.5375,29.554,"benthic invertivore","demersal","day","coral","Bodianus loxozonus"
25,3.2,27.4689,31.535,"benthic invertivore","demersal","day","coral","Bodianus mesothorax"
80,3.5,22.175,28.18,"benthic invertivore","demersal","day","rock","Bodianus perditio"
40,3.4,26.68,30.91,"benthic invertivore","demersal","day","coral","Bodianus rufus"
43,3.5,21.70455,24.163,"benthic invertivore","demersal","day","rock","Bodianus scrofa"
45,3.5,17.993,21.436,"benthic invertivore","demersal","day","rock","Bodianus unimaculatus"
130,2.7,27.58385,31.2861,"excavator","demersal","day","coral","Bolbometopon muricatum"
36,3,18.99275,26.4125,"benthic invertivore","pelagic site attached","day","rock","Boops boops"
40,3.3,18.642,22.345,"browsing herbivore","demersal","day","rock","Boopsoidea inornata"
40,3.1,9.1225,12.489,"benthic invertivore","demersal","night","coral","Boreogadus saida"
7,3.1,8.7335,17.391,"benthic invertivore","benthic","night","rock","Bothragonus occidentalis"
28,3.6,15.8442,21.3454,"benthic invertivore","benthic","day","rock","Bovichtus angustifrons"
33,3.5,14.77275,19.031,"benthic invertivore","benthic","day","rock","Bovichtus argentinus"
10,2.9,18.012,24.56,"browsing herbivore","demersal","day","rock","Brachaluteres jacksonianus"
22,3.5,14.3585,21.913,"benthic invertivore","pelagic site attached","day","rock","Brachyistius frenatus"
4.6,3.2,26.538125,30.92425,"benthic invertivore","benthic","day","coral","Bryaninops amplus"
2.3,3,28.068875,30.21375,"benthic invertivore","benthic","day","coral","Bryaninops erythrops"
2.5,3,26.5759,30.6128,"benthic invertivore","benthic","day","coral","Bryaninops natans"
2.3,3.1,28.064,30.581,"planktivore","benthic","day","coral","Bryaninops nexus"
3.133333333,3.087137681,27.729125,31.49585,"benthic invertivore","benthic","day","coral","Bryaninops yongei"
35,3.4,26.16675,31.3835,"planktivore","pelagic site attached","day","coral","Caesio caerulaurea"
60,3.4,25.8995,31.505,"planktivore","pelagic site attached","day","coral","Caesio cuning"
40,3.4,27.199,31.284,"planktivore","pelagic site attached","day","coral","Caesio lunaris"
25,3.4,26.5035,31.20675,"planktivore","pelagic site attached","day","coral","Caesio striata"
35,3.4,26.67915,30.801,"planktivore","pelagic site attached","day","coral","Caesio suevica"
40,3.4,26.549125,31.419,"planktivore","pelagic site attached","day","coral","Caesio teres"
40,3.4,28.121,33.011,"planktivore","pelagic site attached","day","coral","Caesio varilineata"
40,3.4,28.056225,30.726,"planktivore","pelagic site attached","day","coral","Caesio xanthonota"
30,3.1,16.8405,21.392,"planktivore","pelagic site attached","day","rock","Caesioperca lepidoptera"
26,3.6,15.8935,20.945,"planktivore","pelagic site attached","day","rock","Caesioperca rasor"
16,3,20.2135,23.311,"planktivore","demersal","day","rock","Caesioscorpis theagenes"
14,3.4,19.5045,24.07,"benthic invertivore","benthic","day","sand","Caffrogobius nudiceps"
76,3.2,27.0907,30.3752,"benthic invertivore","demersal","day","coral","Calamus bajonado"
61,3.5,22.7478,29.6366,"benthic invertivore","demersal","day","coral","Calamus brachysomus"
56,3.3,26.58,31.063,"benthic invertivore","demersal","day","coral","Calamus calamus"
37,3.5,27.322325,29.93575,"benthic invertivore","demersal","day","coral","Calamus pennatula"
40,3.3,23.4715,26.17,"benthic invertivore","demersal","day","coral","Calamus taurinus"
49,3.1,18.10175,23.2265,"planktivore","pelagic site attached","day","rock","Callanthias australis"
12.2,3.4,13.530625,18.86,"benthic invertivore","benthic","day","rock","Calliclinus geniguttatus"
30,3.3,9.15,18.537,"benthic invertivore","benthic","day","sand","Callionymus lyra"
20,4,26.982325,31.2016,"benthic invertivore","demersal","night","coral","Calloplesiops altivelis"
54,2,26.607225,30.26695,"scraping herbivore","demersal","day","coral","Calotomus carolinus"
39,2,23.2895,31.136,"scraping herbivore","demersal","day","rock","Calotomus japonicus"
30,2,26.340625,30.60925,"scraping herbivore","demersal","day","coral","Calotomus spinidens"
21,2,26.152,30.836,"scraping herbivore","demersal","day","coral","Calotomus viridescens"
38,3.1,24.961375,30.79825,"corallivore","demersal","day","coral","Cantherhines dumerilii"
25,3.5,23.8083,29.2652,"benthic invertivore","demersal","day","coral","Cantherhines fronticinctus"
13.2,3,25.694,28.35,"benthic invertivore","demersal","day","coral","Cantherhines longicaudus"
46,3,27.543475,30.47695,"benthic invertivore","demersal","day","coral","Cantherhines macrocerus"
25,3.5,25.1501,31.19,"benthic invertivore","demersal","day","coral","Cantherhines pardalis"
20,2.6,27.8667,30.17105,"omnivore","demersal","day","coral","Cantherhines pullus"
19.3,2.7,25.653,29.1441,"benthic invertivore","demersal","day","coral","Cantherhines sandwichiensis"
26,2.9,23.28825,28.414,"omnivore","demersal","day","coral","Cantheschenia grandisquamis"
50,3.5,27.727925,30.42065,"benthic invertivore","demersal","day","coral","Canthidermis maculata"
