"sp_name";"aesthe_score";"aesthe_effect"
"Centropyge nox";1357,7028;-0,0167956633991213
"Centropyge tibicen";1505,5193;-0,00377626242292962
"Cephalopholis argus";1585,6118;0,00275366701040711
"Cephalopholis boenak";1426,2004;-0,010594891794504
"Cephalopholis cruentata";1507,492;-0,00361129537880597
"Cephalopholis cyanostigma";1502,8835;-0,00399701888596413
"Cephalopholis formosa";1804,7888;0,0190649041193344
"Cephalopholis fulva";1559,3336;0,000648292029357386
"Cephalopholis hemistiktos";1457,1343;-0,00789159873943064
"Cephalopholis leopardus";1510,7789;-0,00333690726574432
"Cephalopholis microprion";1435,0377;-0,00981666921666353
"Cephalopholis miniata";1763,9487;0,0161813507173394
"Cephalopholis panamensis";1498,4985;-0,00436513555168125
"Cephalopholis sexmaculata";1602,4653;0,00408566074464072
"Cephalopholis sonnerati";1697,117;0,0113154471556676
"Cephalopholis spiloparaea";1336,764;-0,0187537168408421
"Cephalopholis urodeta";1520,3953;-0,00253755183905936
"Cetoscarus bicolor";1648,8759;0,00768249960386807
"Chaenopsis schmitti";1441,5002;-0,00925060196203489
"Chaetodermis penicilligerus";1700,9678;0,0116009784953993
"Chaetodipterus faber";1598,939;0,00380812702556136
"Chaetodipterus zonatus";1521,731;-0,00242692294781337
"Chaetodon adiergastos";1681,138;0,010123663969834
"Chaetodon andamanensis";1642,4497;0,00719054980366193
"Chaetodon argentatus";1619,489;0,00541695932617215
"Chaetodon assarius";1627,5544;0,00604281696489049
"Chaetodon aureofasciatus";1679,3416;0,00998897294076375
"Chaetodon auriga";1711,7655;0,0123981783350062
"Chaetodon auripes";1647,5831;0,0075836851365618
"Chaetodon austriacus";1737,543;0,0142811929409723
"Chaetodon baronessa";1779,6548;0,0172981186290521
"Chaetodon bennetti";1720,8644;0,0130660603898706
"Chaetodon capistratus";1690,0546;0,0107900924965839
"Chaetodon citrinellus";1627,4077;0,00603146107887538
"Chaetodon collare";1738,16;0,0143259209283258
"Chaetodon decussatus";1641,9388;0,00715135592624553
"Chaetodon dolosus";1634,1589;0,00655300656337166
"Chaetodon ephippium";1703,0808;0,0117573798994547
"Chaetodon falcula";1650,4031;0,00779913053698902
"Chaetodon fasciatus";1810,9768;0,0194961126133052
"Chaetodon flavirostris";1736,369;0,0141960426478714
"Chaetodon guentheri";1651,9893;0,00792015304517097
"Chaetodon guttatissimus";1684,1946;0,0103525122127385
"Chaetodon humeralis";1587,5786;0,00290983821858609
"Chaetodon interruptus";1686,6018;0,0105324475962008
"Chaetodon kleinii";1681,1626;0,0101255074370374
"Chaetodon lineolatus";1683,7186;0,010316901315825
"Chaetodon litus";1556,1324;0,000389395164310576
"Chaetodon lunula";1800,5476;0,0187685028860201
"Chaetodon lunulatus";1818,1865;0,0199966633459333
"Chaetodon madagaskariensis";1637,138;0,00678246397279059
"Chaetodon marleyi";1700,0883;0,0115358218217988
"Chaetodon melannotus";1732,3499;0,013904100535289
"Chaetodon mertensii";1603,5881;0,00417390135768077
"Chaetodon meyeri";1759,5187;0,0158645613883373
"Chaetodon miliaris";1661,714;0,00865958920682223
"Chaetodon multicinctus";1618,663;0,00535268764315017
"Chaetodon ocellatus";1635,2855;0,00663982913686202
"Chaetodon ocellicaudus";1809,8689;0,0194190174017517
"Chaetodon octofasciatus";1645,439;0,00741963095692369
"Chaetodon ornatissimus";1779,7948;0,0173080288202763
"Chaetodon oxycephalus";1583,5464;0,00258945793276812
"Chaetodon paucifasciatus";1757,797;0,0157412273334405
"Chaetodon pelewensis";1817,3182;0,0199364847645849
"Chaetodon plebeius";1733,4773;0,0139860616745839
"Chaetodon punctatofasciatus";1728,087;0,0135937079938354
"Chaetodon quadrimaculatus";1655,2732;0,00817033630469963
"Chaetodon rafflesii";1768,842;0,0165303472067295
"Chaetodon rainfordi";1732,2506;0,0138968789435691
"Chaetodon reticulatus";1768,6693;0,0165180464636205
"Chaetodon sedentarius";1547,3792;-0,000321247826508303
"Chaetodon semeion";1673,2784;0,00953329827606033
"Chaetodon semilarvatus";1770,8802;0,0166754295335836
"Chaetodon speculum";1673,2849;0,00953378766162997
"Chaetodon striatus";1686,8851;0,01055360704714
"Chaetodon triangulum";1718,9442;0,0129254073641495
"Chaetodon trichrous";1550,2726;-8,58985584754953e-05
"Chaetodon tricinctus";1768,6609;0,0165174481339621
"Chaetodon trifascialis";1732,3347;0,0139029951422411
"Chaetodon trifasciatus";1787,5977;0,0178591443961355
"Chaetodon ulietensis";1637,1733;0,00678518035942633
"Chaetodon unimaculatus";1626,818;0,00598580271881811
"Chaetodon vagabundus";1665,6663;0,00895887390458964
"Chaetodon xanthocephalus";1701,9031;0,0116702320897861
"Chaetodon xanthurus";1734,3584;0,0140500798871287
"Chaetodon zanzibarensis";1685,2375;0,0104304993213253
"Chaetodontoplus conspicillatus";1714,4263;0,0125938543045943
"Chaetodontoplus duboulayi";1702,0342;0,0116799362506397
"Chaetodontoplus meredithi";1661,3727;0,00863371116179683
"Chaetodontoplus mesoleucus";1527,2556;-0,00197037894178735
"Chaetodontoplus personifer";1644,3337;0,00733497624412337
"Chaetodontoplus septentrionalis";2045,2472;0,0348220537919781
"Chaetodontoplus vanderloosi";1520,1295;-0,00255957822650612
"Champsocephalus esox";1287,6597;-0,023468623586278
"Chanos chanos";1280,308;-0,0241899573365956
"Cheilinus abudjubbe";1580,4581;0,00234352347972398
"Cheilinus chlorourus";1444,7927;-0,0089631783667151
"Cheilinus fasciatus";1556,1812;0,000393345857631391
"Cheilinus lunulatus";1427,1069;-0,0105148427555729
"Cheilinus oxycephalus";1529,6621;-0,00177202581280786
"Cheilinus trilobatus";1526,0945;-0,00206619314421999
"Cheilinus undulatus";1559,1982;0,000637352331327242
"Cheilio inermis";1391,8492;-0,0136663997085604
"Cheilodactylus fasciatus";1361,9814;-0,0163992754766709
"Cheilodactylus pixi";1345,314;-0,017950499587523
"Cheilodactylus plessisi";1418,1904;-0,0113044389207567
"Cheilodactylus zebra";1497,7148;-0,00443103988571033
"Cheilodactylus zonatus";1507,2307;-0,00363313418460464
"Cheilodipterus arabicus";1340,1165;-0,0184381605256081
"Cheilodipterus artus";1301,8433;-0,0220885213923096
"Cheilodipterus intermedius";1296,5647;-0,0226003786349253
"Cheilodipterus isostigmus";1345,9993;-0,0178863412162782
"Cheilodipterus lachneri";1355,42;-0,0170076631555455
"Cheilodipterus macrodon";1451,4722;-0,00838208851656852
"Cheilodipterus nigrotaeniatus";1394,1162;-0,0134613719120942
"Cheilodipterus parazonatus";1309,968;-0,0213047240531071
"Cheilodipterus quinquelineatus";1413,962;-0,0116806197107389
"Cheiloprion labiatus";1677,394;0,00984278231445742
"Chelidonichthys capensis";1347,2104;-0,0177730368333147
"Chelmon marginalis";1795,8562;0,0184398245280835
"Chelmon rostratus";1764,8833;0,0162480823346279
"Chelmonops curiosus";1759,8583;0,0158888743988599
"Chelmonops truncatus";1717,2185;0,01279886717974
"Chelon auratus";1232,0342;-0,0290319373931765
"Chelon labrosus";1219,3625;-0,0303343902127
"Chelon ramada";1128,7653;-0,040060642533906
"Chelon richardsonii";1197,0253;-0,0326636145322741
"Chelonodon pleurospilus";1420,9857;-0,011056369586601
"Chilomycterus antennatus";1513,525;-0,00310812208793994
"Chilomycterus reticulatus";1418,585;-0,0112693904576905
"Chirodactylus brachydactylus";1219,6329;-0,030306456249644
"Chirodactylus spectabilis";1461,3306;-0,00752931470082962
"Chirolophis ascanii";1275,991;-0,0246154652663496
"Chironemus maculosus";1407,9768;-0,0122150223252474
"Chironemus marmoratus";1368,8438;-0,0157661061206454
"Chironemus microlepis";1448,788;-0,00861528117838953
"Chlorurus atrilunula";1644,0912;0,00731639560440754
"Chlorurus bleekeri";1720,4546;0,0130360560642179
"Chlorurus bowersi";1817,583;0,0199548400954505
