"sp_name","esthe_score","file_name","copyright","kingdom","phylum","class","order","family","genus","aesthe_effect"
"Amblyrhynchotes honckenii",1424.1896,"Amblyrhynchotes_honckenii_A_2","YES","Animalia","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Amblyrhynchotes",-0.0107726384793696
"Ammodytes tobianus",1270.6172,"Ammodytes_tobianus_A_1","NO","Animalia","Chordata","Actinopteri","Perciformes","Ammodytidae","Ammodytes",-0.0251471532645208
"Amphichaetodon howensis",1707.7839,"Amphichaetodon_howensis_A_1","YES","Animalia","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Amphichaetodon",0.012104801520604
"Amphichthys cryptocentrus",1289.9777,"Amphichthys_cryptocentrus_A_1","NO","Animalia","Chordata","Actinopteri","Batrachoidiformes","Batrachoididae","Amphichthys",-0.02324203993506
"Amphiprion akallopisos",1613.5715,"Amphiprion_akallopisos_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion",0.00495578856296455
"Amphiprion akindynos",1582.4883,"Amphiprion_akindynos_A_2","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion",0.00250525098871196
"Amphiprion allardi",1701.6387,"Amphiprion_allardi_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion",0.0116506586475009
"Amphiprion bicinctus",1709.8564,"Amphiprion_bicinctus_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion",0.0122575950936603
"Amphiprion chrysopterus",1777.805,"Amphiprion_chrysopterus_A_1","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion",0.0171671034364312
"Amphiprion clarkii",1607.4429,"Amphiprion_clarkii_A_3","NO","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion",0.00447637978560387
"Amphiprion ephippium",1708.5635,"Amphiprion_ephippium_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion",0.0121622987155825
"Amphiprion frenatus",1687.4753,"Amphiprion_frenatus_A_3","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion",0.0105976772034074
"Amphiprion fuscocaudatus",1618.0498,"Amphiprion_fuscocaudatus_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion",0.00530495287333181
"Amphiprion latezonatus",1573.0422,"Amphiprion_latezonatus_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion",0.00175099581037833
"Amphiprion leucokranos",1566.637,"Amphiprion_leucokranos_A_3","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion",0.00123697006887352
"Amphiprion mccullochi",1609.5696,"Amphiprion_mccullochi_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion",0.00464294733356878
"Amphiprion melanopus",1726.4187,"Amphiprion_melanopus_A_3","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion",0.0134720263364245
"Amphiprion nigripes",1541.7242,"Amphiprion_nigripes_A_2","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion",-0.000782499012178763
"Amphiprion ocellaris",1703.2319,"Amphiprion_ocellaris_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion",0.0117685566818989
"Amphiprion percula",1754.4348,"Amphiprion_percula_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion",0.0155000273062761
"Amphiprion perideraion",1575.5327,"Amphiprion_perideraion_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion",0.00195029679957967
"Amphiprion rubrocinctus",1657.7715,"Amphiprion_rubrocinctus_A_3","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion",0.00836033657615117
"Amphiprion sandaracinos",1553.1953,"Amphiprion_sandaracinos_A_1","YES","Animalia","Chordata","Actinopteri","Ovalentaria incertae sedis","Pomacentridae","Amphiprion",0.000151388447660354
"Anampses caeruleopunctatus",1730.1138,"Anampses_caeruleopunctatus_F_2","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses",0.0137413797994189
"Anampses cuvier",1674.7795,"Anampses_cuvier_F_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses",0.00964626578203034
"Anampses elegans",1612.0044,"Anampses_elegans_M_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses",0.00483337590560362
"Anampses femininus",1688.448,"Anampses_femininus_F_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses",0.0106702749605174
"Anampses geographicus",1399.2029,"Anampses_geographicus_M_2","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses",-0.0130025407556314
"Anampses lennardi",1769.8582,"Anampses_lennardi_F_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses",0.0166027028282735
"Anampses lineatus",1680.4567,"Anampses_lineatus_J_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses",0.0100725981990913
"Anampses melanurus",1682.1074,"Anampses_melanurus_F_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses",0.0101962881624343
"Anampses meleagrides",1854.134,"Anampses_meleagrides_F_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses",0.0224631503636909
"Anampses neoguinaicus",1542.8147,"Anampses_neoguinaicus_A_1","YES","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses",-0.000693420637769885
"Anampses twistii",1602.05,"Anampses_twistii_A_1","NO","Animalia","Chordata","Actinopteri","Eupercaria incertae sedis","Labridae","Anampses",0.00405300674146251
"Anarrhichthys ocellatus",1486.7755,"Anarrhichthys_ocellatus_A_1","YES","Animalia","Chordata","Actinopteri","Perciformes","Anarhichadidae","Anarrhichthys",-0.00535458507928039
"Anguilla anguilla",1290.9585,"Anguilla_anguilla_A_2","NO","Animalia","Chordata","Actinopteri","Anguilliformes","Anguillidae","Anguilla",-0.0231462896543957
